Data,Hora,Liga,Time_Casa,Time_Visitante
24/01/2026,12:00,Championship,Bristol City,Sheffield Wed
24/01/2026,12:00,Premier League,Man City,Wolves
24/01/2026,12:00,Premier League,Burnley,Tottenham
24/01/2026,12:00,Premier League,Fulham,Brighton
24/01/2026,12:00,Pro League,La Louvière,St. Truidense
24/01/2026,12:00,Scottish Premiership,Aberdeen,Livingston
24/01/2026,12:00,Scottish Premiership,Falkirk,Hibernian
24/01/2026,12:00,Scottish Premiership,Dundee Utd,St Mirren
24/01/2026,12:00,Scottish Premiership,Motherwell,Kilmarnock
24/01/2026,13:00,Ligue 1,Rennes,Lorient
24/01/2026,14:00,Serie A,Fiorentina,Cagliari
24/01/2026,14:15,Pro League,Club Brugge,Zulte Waregem
24/01/2026,14:30,Premier League,Bournemouth,Liverpool
24/01/2026,14:30,Bundesliga,Union Berlin,Dortmund
24/01/2026,15:00,Ligue 1,Le Havre,AS Monaco
24/01/2026,16:30,Bundesliga 2,Magdeburg,Dresden
24/01/2026,16:45,Serie A,Lecce,Lazio
24/01/2026,16:45,Pro League,OH Leuven,USG
24/01/2026,17:05,Ligue 1,Marseille,Lens
25/01/2026,08:30,Serie A,Sassuolo,Cremonese
25/01/2026,09:00,Championship,Portsmouth,Southampton
25/01/2026,09:30,Bundesliga 2,Elversberg,Bochum
25/01/2026,09:30,Bundesliga 2,Schalke,Kaiserslautern
25/01/2026,09:30,Bundesliga 2,Paderborn,Münster
25/01/2026,09:30,Pro League,Royal Antwerp,Charleroi
25/01/2026,11:00,Premier League,Crystal Palace,Chelsea
25/01/2026,11:00,Premier League,Newcastle,Aston Villa
25/01/2026,11:00,Premier League,Brentford,Forest
25/01/2026,11:00,Serie A,Atalanta,Parma
25/01/2026,11:00,Serie A,Genoa,Bologna
25/01/2026,11:00,Ligue 1,Nantes,Nice
25/01/2026,11:30,Bundesliga,M'gladbach,Stuttgart
25/01/2026,12:00,Pro League,Genk,Cercle Brugge
25/01/2026,12:00,Trendyol Süper Lig,Karagümrük,Galatasaray
25/01/2026,12:00,Trendyol Süper Lig,Fenerbahçe,Göztepe
25/01/2026,12:00,Trendyol Süper Lig,Eyüpspor,Beşiktaş
25/01/2026,12:00,Trendyol Süper Lig,Trabzonspor,Kasımpaşa
25/01/2026,12:00,Trendyol Süper Lig,Kayserispor,Başakşehir
25/01/2026,12:00,Trendyol Süper Lig,Gaziantep,Konyaspor
25/01/2026,12:00,Trendyol Süper Lig,Rizespor,Alanyaspor
25/01/2026,12:00,Trendyol Süper Lig,Samsunspor,Kocaelispor
25/01/2026,12:00,Trendyol Süper Lig,Antalyaspor,Gençlerbirliği
25/01/2026,12:00,Scottish Premiership,Hearts,Celtic
25/01/2026,12:00,Scottish Premiership,Rangers,Dundee
25/01/2026,13:15,Ligue 1,Metz,Lyon
25/01/2026,13:15,Ligue 1,Brest,Toulouse
25/01/2026,13:15,Ligue 1,Paris,Angers
25/01/2026,13:30,Premier League,Arsenal,Man Utd
25/01/2026,13:30,Bundesliga,Freiburg,Köln
25/01/2026,14:00,Serie A,Juventus,Napoli
25/01/2026,14:30,Pro League,Anderlecht,Dender
25/01/2026,15:15,Pro League,Mechelen,Westerlo
25/01/2026,16:00,La Liga,Villarreal,Real Madrid
25/01/2026,16:00,La Liga,Barcelona,Real Oviedo
